t,ax,ay,az,mag,db
1788360011272,0.0000,0.0000,0.0000,0.0000,-61.45
1788360011285,-0.0002,0.0000,0.0000,0.0002,-61.45
1788360011303,0.0002,-0.0003,-0.0000,0.0004,-61.45
1788360011322,-0.0006,0.0005,-0.0004,0.0009,-61.45
1788360011341,-0.0009,0.0004,-0.0003,0.0010,-61.45
1788360011360,-0.0007,-0.0017,0.0002,0.0019,-61.45
1788360011378,0.0002,0.0006,0.0001,0.0007,-160.00
1788360011397,0.0002,-0.0003,0.0001,0.0004,-160.00
1788360011416,-0.0007,0.0002,0.0001,0.0007,-160.00
1788360011434,0.0002,-0.0007,0.0005,0.0009,-57.08
1788360011454,0.0002,-0.0011,0.0005,0.0012,-57.08
1788360011473,-0.0002,-0.0006,0.0004,0.0007,-57.08
1788360011491,-0.0002,0.0013,-0.0000,0.0013,-57.08
1788360011510,-0.0002,0.0007,0.0009,0.0012,-59.00
1788360011529,-0.0011,0.0002,-0.0010,0.0015,-59.00
1788360011547,-0.0001,0.0002,0.0004,0.0005,-59.00
1788360011566,-0.0006,-0.0012,-0.0001,0.0013,-59.47
1788360011585,-0.0001,-0.0002,-0.0010,0.0010,-59.47
1788360011604,-0.0015,-0.0001,0.0005,0.0015,-59.47
1788360011622,0.0000,0.0003,-0.0010,0.0010,-59.90
1788360011641,0.0019,-0.0006,-0.0004,0.0020,-59.90
1788360011660,0.0008,0.0003,-0.0004,0.0010,-59.90
1788360011680,0.0013,-0.0006,0.0001,0.0014,-59.90
1788360011698,0.0003,0.0008,0.0015,0.0017,-42.63
1788360011717,0.0017,0.0008,-0.0000,0.0019,-42.63
1788360011735,0.0002,-0.0007,-0.0009,0.0012,-42.63
1788360011754,0.0002,-0.0002,0.0000,0.0003,-37.44
1788360011774,-0.0003,-0.0011,-0.0004,0.0012,-37.44
1788360011792,-0.0007,0.0003,-0.0004,0.0009,-37.44
1788360011811,0.0002,-0.0011,-0.0009,0.0014,-37.44
1788360011830,-0.0002,0.0008,-0.0004,0.0009,-34.40
1788360011848,-0.0016,0.0003,0.0006,0.0018,-34.40
1788360011868,-0.0002,-0.0006,-0.0004,0.0008,-34.40
1788360011886,-0.0002,-0.0001,0.0006,0.0006,-38.00
1788360011905,0.0003,-0.0001,0.0010,0.0011,-38.00
1788360011924,0.0012,-0.0006,-0.0009,0.0016,-38.00
1788360011943,0.0002,0.0004,0.0001,0.0004,-37.72
1788360011962,-0.0007,0.0013,-0.0004,0.0015,-37.72
1788360011980,0.0040,0.0022,0.0020,0.0050,-37.72
1788360011999,-0.0027,-0.0017,-0.0023,0.0040,-37.72
1788360012018,0.0011,0.0012,-0.0032,0.0036,-18.30
1788360012036,0.0002,-0.0002,0.0016,0.0016,-18.30
1788360012055,-0.0003,-0.0007,0.0025,0.0026,-18.30
1788360012074,0.0007,0.0008,0.0015,0.0018,-25.70
1788360012094,0.0002,-0.0002,0.0010,0.0010,-25.70
1788360012112,0.0002,0.0003,0.0009,0.0010,-25.70
1788360012131,0.0016,0.0007,0.0004,0.0018,-25.70
1788360012150,0.0001,-0.0003,0.0004,0.0005,-26.88
1788360012170,0.0001,0.0007,-0.0001,0.0007,-26.88
1788360012187,0.0006,0.0007,-0.0001,0.0009,-26.88
1788360012207,0.0001,-0.0008,0.0004,0.0009,-30.16
1788360012225,-0.0004,-0.0003,-0.0006,0.0007,-30.16
1788360012245,0.0015,0.0007,0.0009,0.0019,-30.16
1788360012262,0.0000,0.0007,-0.0015,0.0016,-34.33
1788360012282,0.0000,0.0016,0.0004,0.0017,-34.33
1788360012300,0.0005,-0.0004,-0.0005,0.0008,-34.33
1788360012319,0.0005,0.0001,-0.0000,0.0005,-34.33
1788360012337,0.0005,-0.0008,-0.0000,0.0009,-33.89
1788360012356,0.0000,0.0011,0.0004,0.0012,-33.89
1788360012375,0.0010,-0.0003,-0.0001,0.0010,-33.89
1788360012394,-0.0009,0.0012,-0.0034,0.0037,-34.88
1788360012412,0.0011,-0.0026,0.0024,0.0037,-34.88
1788360012433,0.0001,-0.0012,0.0023,0.0026,-34.88
