t,ax,ay,az,mag,db
1788359430287,0.0000,0.0000,0.0000,0.0000,-60.15
1788359430302,-0.0002,-0.0002,0.0002,0.0004,-60.15
1788359430321,0.0005,0.0005,-0.0002,0.0007,-60.15
1788359430339,-0.0007,0.0011,-0.0005,0.0014,-60.15
1788359430358,0.0006,0.0005,-0.0000,0.0007,-60.15
1788359430379,-0.0029,-0.0008,0.0037,0.0047,-60.15
1788359430396,-0.0000,0.0006,0.0094,0.0094,-160.00
1788359430414,0.0013,-0.0003,-0.0041,0.0044,-160.00
1788359430434,0.0003,0.0001,-0.0067,0.0067,-160.00
1788359430453,-0.0002,0.0015,-0.0030,0.0033,-20.12
1788359430471,-0.0006,0.0004,-0.0018,0.0020,-20.12
1788359430490,-0.0006,0.0004,-0.0026,0.0027,-20.12
1788359430509,-0.0001,-0.0001,-0.0015,0.0015,-20.12
1788359430527,0.0008,0.0004,-0.0009,0.0013,-16.94
1788359430546,0.0012,-0.0010,-0.0008,0.0018,-16.94
1788359430565,0.0007,0.0004,0.0001,0.0008,-16.94
1788359430584,-0.0003,-0.0010,-0.0003,0.0011,-14.84
1788359430602,-0.0007,-0.0005,-0.0003,0.0009,-14.84
1788359430621,-0.0007,-0.0014,-0.0003,0.0016,-14.84
1788359430640,-0.0006,0.0005,0.0006,0.0010,-10.09
1788359430659,0.0008,0.0005,0.0001,0.0010,-10.09
1788359430677,-0.0002,0.0000,0.0001,0.0002,-10.09
1788359430697,-0.0006,0.0005,0.0006,0.0010,-10.09
1788359430716,-0.0002,0.0000,-0.0004,0.0004,-9.70
1788359430735,-0.0077,-0.0089,0.0048,0.0127,-9.70
1788359430753,0.0062,0.0098,-0.0015,0.0117,-9.70
1788359430772,-0.0011,0.0005,-0.0010,0.0015,-9.70
1788359430790,0.0004,-0.0004,-0.0005,0.0007,-13.60
1788359430809,-0.0010,-0.0009,-0.0014,0.0020,-13.60
1788359430828,-0.0005,-0.0004,-0.0009,0.0011,-13.60
1788359430847,-0.0005,-0.0004,-0.0008,0.0011,-24.85
1788359430865,-0.0005,0.0001,-0.0003,0.0006,-24.85
1788359430885,0.0009,0.0006,-0.0003,0.0011,-24.85
1788359430903,0.0004,0.0001,0.0002,0.0005,-24.35
1788359430923,-0.0006,-0.0003,0.0002,0.0007,-24.35
1788359430941,0.0019,-0.0073,0.0468,0.0474,-24.35
1788359430960,-0.0010,0.0048,-0.0042,0.0065,-16.84
1788359430979,-0.0042,0.0014,-0.0258,0.0262,-16.84
1788359430998,0.0039,-0.0015,-0.0230,0.0234,-16.84
1788359431016,-0.0019,0.0023,0.0027,0.0040,-16.84
1788359431035,0.0010,-0.0001,-0.0030,0.0032,-24.91
1788359431054,0.0001,-0.0010,0.0018,0.0021,-24.91
1788359431073,0.0005,0.0009,-0.0006,0.0012,-24.91
1788359431091,-0.0019,-0.0001,0.0069,0.0072,-32.26
1788359431110,0.0006,-0.0001,-0.0051,0.0051,-32.26
1788359431130,0.0001,0.0004,0.0007,0.0008,-32.26
1788359431149,0.0006,0.0008,0.0017,0.0019,-32.26
1788359431167,0.0001,-0.0001,-0.0008,0.0008,-34.04
1788359431185,0.0001,-0.0001,0.0012,0.0012,-34.04
1788359431204,-0.0004,-0.0001,-0.0003,0.0005,-34.04
1788359431224,-0.0009,0.0008,0.0007,0.0014,-42.05
1788359431242,-0.0004,-0.0001,0.0002,0.0004,-42.05
1788359431261,0.0011,-0.0001,-0.0003,0.0011,-42.05
1788359431280,0.0010,0.0003,0.0002,0.0011,-38.96
1788359431299,0.0001,0.0008,0.0006,0.0010,-38.96
1788359431317,-0.0014,0.0008,0.0001,0.0016,-38.96
1788359431337,0.0001,0.0003,-0.0013,0.0013,-38.96
1788359431355,0.0001,0.0003,0.0011,0.0012,-41.07
1788359431373,0.0011,-0.0002,0.0001,0.0011,-41.07
1788359431394,-0.0004,0.0003,-0.0003,0.0006,-41.07
1788359431411,0.0010,-0.0002,-0.0003,0.0011,-42.58
1788359431430,-0.0004,0.0007,0.0011,0.0014,-42.58
1788359431450,-0.0004,-0.0002,0.0001,0.0005,-42.58
1788359431468,0.0001,0.0003,0.0001,0.0003,-42.58
1788359431486,0.0006,-0.0002,0.0006,0.0008,-42.61
1788359431505,0.0001,-0.0007,0.0010,0.0012,-42.61
1788359431524,0.0010,0.0003,0.0001,0.0011,-42.61
1788359431542,0.0005,-0.0002,0.0005,0.0008,-45.84
1788359431562,-0.0004,-0.0011,0.0005,0.0013,-45.84
1788359431580,-0.0004,-0.0002,-0.0004,0.0006,-45.84
1788359431603,0.0006,0.0002,-0.0014,0.0015,-50.02
1788359431618,-0.0022,0.0017,0.0020,0.0034,-50.02
1788359431637,0.0025,-0.0007,0.0000,0.0026,-50.02
1788359431655,-0.0011,0.0003,0.0000,0.0011,-50.02
1788359431676,0.0013,-0.0012,-0.0009,0.0020,-52.59
