t,ax,ay,az,mag,db
1788359617109,0.0000,0.0000,0.0000,0.0000,-56.12
1788359617125,0.0007,-0.0002,-0.0005,0.0009,-56.12
1788359617143,0.0008,-0.0002,-0.0010,0.0013,-56.12
1788359617162,-0.0009,0.0014,-0.0000,0.0016,-56.12
1788359617181,0.0001,-0.0005,-0.0004,0.0006,-56.12
1788359617200,0.0005,0.0004,0.0001,0.0006,-56.12
1788359617219,-0.0004,-0.0009,0.0005,0.0011,-160.00
1788359617239,0.0001,0.0001,-0.0000,0.0001,-160.00
1788359617256,-0.0003,-0.0004,0.0004,0.0007,-160.00
1788359617275,0.0006,0.0001,0.0008,0.0010,-56.46
1788359617294,-0.0012,0.0010,-0.0006,0.0017,-56.46
1788359617314,0.0011,-0.0004,-0.0005,0.0013,-56.46
1788359617332,0.0015,0.0000,-0.0005,0.0016,-56.46
1788359617351,0.0005,0.0000,0.0009,0.0010,-54.71
1788359617370,0.0009,-0.0004,0.0004,0.0011,-54.71
1788359617389,0.0009,0.0010,0.0004,0.0014,-54.71
1788359617407,0.0013,-0.0018,0.0003,0.0023,-57.69
1788359617426,0.0007,-0.0008,0.0003,0.0012,-57.69
1788359617445,-0.0002,0.0002,-0.0002,0.0003,-57.69
1788359617464,-0.0002,0.0006,-0.0006,0.0009,-55.53
1788359617482,0.0012,0.0006,0.0008,0.0016,-55.53
1788359617502,0.0007,0.0001,-0.0006,0.0009,-55.53
1788359617520,-0.0007,0.0001,0.0003,0.0008,-55.53
1788359617539,-0.0012,-0.0004,-0.0001,0.0012,-43.48
1788359617558,0.0003,0.0001,0.0003,0.0005,-43.48
1788359617577,-0.0011,-0.0008,-0.0002,0.0014,-43.48
1788359617595,0.0004,0.0006,-0.0006,0.0009,-37.97
1788359617615,-0.0006,-0.0004,-0.0001,0.0007,-37.97
1788359617633,-0.0005,0.0001,-0.0006,0.0008,-37.97
1788359617652,-0.0005,0.0001,0.0008,0.0010,-37.97
1788359617670,-0.0010,-0.0004,-0.0001,0.0010,-38.29
1788359617689,-0.0004,0.0010,-0.0001,0.0011,-38.29
1788359617708,0.0010,0.0001,0.0004,0.0010,-38.29
1788359617727,-0.0005,0.0001,-0.0001,0.0005,-40.16
1788359617746,0.0005,0.0000,0.0003,0.0006,-40.16
1788359617765,-0.0010,0.0000,-0.0001,0.0010,-40.16
1788359617784,-0.0000,0.0015,0.0003,0.0015,-42.66
1788359617802,0.0005,0.0014,-0.0011,0.0019,-42.66
1788359617821,0.0005,-0.0010,0.0004,0.0012,-42.66
1788359617840,0.0005,0.0009,-0.0001,0.0011,-42.66
1788359617859,-0.0004,-0.0005,0.0004,0.0007,-44.69
1788359617877,0.0001,-0.0000,-0.0001,0.0002,-44.69
1788359617896,0.0005,-0.0005,-0.0001,0.0007,-44.69
1788359617915,-0.0004,-0.0000,0.0004,0.0006,-44.70
1788359617935,-0.0004,0.0014,-0.0001,0.0015,-44.70
1788359617953,-0.0018,-0.0000,-0.0001,0.0018,-44.70
1788359617971,-0.0008,-0.0001,-0.0001,0.0008,-44.70
1788359617990,-0.0003,0.0009,-0.0006,0.0011,-46.61
1788359618009,-0.0008,0.0009,-0.0001,0.0012,-46.61
1788359618029,0.0007,-0.0001,-0.0001,0.0007,-46.61
1788359618048,0.0002,-0.0001,-0.0001,0.0002,-51.24
1788359618066,0.0006,-0.0010,0.0013,0.0018,-51.24
1788359618085,-0.0003,-0.0001,0.0003,0.0005,-51.24
1788359618104,0.0006,-0.0001,-0.0001,0.0006,-45.99
1788359618122,0.0001,0.0004,0.0003,0.0005,-45.99
1788359618141,0.0001,-0.0001,0.0008,0.0008,-45.99
1788359618163,-0.0003,0.0004,0.0003,0.0006,-45.99
1788359618179,0.0006,-0.0006,-0.0007,0.0011,-50.56
1788359618197,0.0006,-0.0005,0.0008,0.0011,-50.56
1788359618217,0.0001,0.0009,-0.0007,0.0011,-50.56
1788359618235,0.0001,-0.0001,-0.0002,0.0002,-50.56
1788359618254,-0.0008,-0.0001,-0.0002,0.0008,-50.82
1788359618272,0.0002,-0.0010,-0.0002,0.0010,-50.82
1788359618292,0.0002,-0.0010,-0.0016,0.0019,-50.82
1788359618310,0.0007,0.0028,0.0037,0.0047,-24.81
1788359618330,-0.0022,-0.0020,-0.0016,0.0034,-24.81
1788359618347,0.0003,0.0018,0.0003,0.0019,-24.81
1788359618369,-0.0002,-0.0001,-0.0035,0.0035,-20.51
1788359618385,0.0012,0.0004,0.0023,0.0026,-20.51
1788359618405,-0.0011,0.0004,0.0041,0.0043,-20.51
1788359618423,0.0008,-0.0001,0.0007,0.0010,-28.13
1788359618442,-0.0006,-0.0001,0.0002,0.0007,-28.13
1788359618460,-0.0001,0.0013,0.0002,0.0013,-28.13
1788359618480,-0.0001,-0.0001,-0.0008,0.0008,-28.13
1788359618498,0.0013,0.0013,0.0002,0.0018,-28.04
1788359618517,0.0003,-0.0006,0.0002,0.0007,-28.04
1788359618536,0.0017,-0.0001,0.0002,0.0017,-28.04
1788359618555,0.0012,-0.0001,-0.0003,0.0012,-26.69
1788359618575,0.0002,0.0017,-0.0003,0.0018,-26.69
1788359618593,-0.0007,0.0003,0.0002,0.0008,-26.69
1788359618611,0.0003,-0.0002,0.0002,0.0004,-26.69
1788359618630,-0.0002,0.0003,-0.0008,0.0008,-30.30
1788359618649,-0.0016,0.0007,0.0002,0.0018,-30.30
1788359618668,-0.0011,0.0002,-0.0007,0.0013,-30.30
1788359618686,-0.0001,-0.0012,0.0021,0.0024,-26.07
1788359618705,0.0009,-0.0002,0.0002,0.0009,-26.07
1788359618724,0.0004,0.0003,-0.0008,0.0009,-26.07
1788359618743,-0.0001,-0.0002,-0.0003,0.0004,-32.35
1788359618762,0.0004,0.0003,-0.0008,0.0009,-32.35
1788359618780,0.0008,-0.0002,-0.0003,0.0009,-32.35
1788359618799,-0.0002,-0.0002,0.0002,0.0003,-32.35
1788359618818,-0.0006,-0.0011,0.0007,0.0015,-23.20
1788359618837,0.0003,0.0003,-0.0008,0.0009,-23.20
1788359618856,0.0003,-0.0006,0.0002,0.0007,-23.20
1788359618874,-0.0002,0.0003,0.0002,0.0004,-23.20
1788359618894,0.0008,-0.0001,0.0002,0.0008,-29.03
1788359618912,0.0008,0.0013,0.0007,0.0016,-29.03
1788359618932,0.0012,-0.0011,0.0002,0.0017,-29.03
1788359618949,-0.0002,-0.0011,0.0002,0.0011,-31.76
