t,ax,ay,az,mag,db
1788358708480,0.0000,0.0000,0.0000,0.0000,-44.35
1788358708488,0.0005,0.0002,0.0000,0.0005,-44.35
1788358708508,-0.0003,0.0005,0.0000,0.0006,-44.35
1788358708526,0.0005,-0.0000,-0.0007,0.0009,-44.35
1788358708545,0.0000,-0.0012,0.0010,0.0015,-44.35
1788358708564,0.0000,-0.0006,0.0008,0.0010,-44.35
1788358708583,0.0004,0.0008,-0.0006,0.0010,-160.00
1788358708601,-0.0001,-0.0002,0.0012,0.0012,-160.00
1788358708620,0.0004,-0.0010,0.0002,0.0011,-160.00
1788358708638,-0.0001,-0.0014,-0.0002,0.0014,-160.00
1788358708658,-0.0010,0.0001,0.0002,0.0010,-50.15
1788358708677,0.0004,0.0001,0.0002,0.0005,-50.15
1788358708696,0.0004,0.0005,-0.0003,0.0007,-50.15
1788358708714,-0.0019,0.0001,-0.0002,0.0019,-46.22
1788358708733,0.0000,-0.0009,0.0007,0.0011,-46.22
1788358708752,-0.0004,0.0006,0.0002,0.0007,-46.22
1788358708771,0.0005,0.0001,-0.0003,0.0006,-46.18
1788358708789,-0.0004,-0.0009,0.0002,0.0010,-46.18
1788358708808,-0.0004,0.0010,-0.0017,0.0020,-46.18
1788358708827,-0.0013,0.0005,0.0007,0.0016,-48.82
1788358708846,-0.0003,0.0005,0.0012,0.0013,-48.82
1788358708864,0.0002,0.0005,-0.0003,0.0006,-48.82
1788358708883,0.0001,0.0009,0.0002,0.0009,-48.82
1788358708903,-0.0003,-0.0001,0.0002,0.0004,-48.82
1788358708922,-0.0003,0.0004,0.0002,0.0005,-42.74
1788358708940,0.0006,-0.0006,-0.0003,0.0009,-42.74
1788358708959,0.0001,0.0004,-0.0003,0.0005,-42.74
1788358708977,0.0001,0.0009,-0.0003,0.0009,-37.06
1788358708998,-0.0003,0.0003,-0.0003,0.0006,-37.06
1788358709015,-0.0008,0.0013,-0.0007,0.0017,-37.06
1788358709034,0.0002,-0.0002,0.0007,0.0007,-37.78
1788358709052,0.0006,0.0003,0.0002,0.0007,-37.78
1788358709071,-0.0003,-0.0011,-0.0007,0.0014,-37.78
1788358709090,-0.0013,-0.0001,-0.0002,0.0013,-39.05
1788358709110,-0.0012,0.0013,-0.0007,0.0019,-39.05
1788358709127,0.0003,0.0003,0.0003,0.0005,-39.05
1788358709147,-0.0002,0.0017,0.0003,0.0018,-40.36
1788358709165,0.0007,0.0007,-0.0002,0.0011,-40.36
1788358709185,-0.0012,-0.0007,0.0003,0.0014,-40.36
1788358709203,-0.0002,0.0007,-0.0007,0.0010,-40.36
1788358709223,-0.0007,-0.0012,-0.0002,0.0014,-40.36
1788358709242,0.0003,-0.0002,0.0003,0.0004,-42.47
1788358709260,0.0008,-0.0002,-0.0002,0.0008,-42.47
1788358709278,-0.0007,-0.0002,0.0003,0.0007,-42.47
1788358709297,0.0008,-0.0011,-0.0002,0.0014,-42.93
1788358709316,-0.0002,-0.0006,-0.0002,0.0007,-42.93
1788358709334,-0.0007,0.0004,0.0003,0.0008,-42.93
1788358709353,-0.0002,-0.0001,-0.0007,0.0007,-43.45
1788358709373,-0.0002,0.0004,-0.0007,0.0008,-43.45
1788358709391,0.0003,-0.0001,-0.0002,0.0004,-43.45
1788358709410,0.0008,0.0004,-0.0068,0.0068,-38.66
1788358709429,-0.0002,0.0008,-0.0004,0.0009,-38.66
1788358709448,-0.0016,-0.0001,0.0039,0.0042,-38.66
1788358709466,-0.0011,-0.0011,0.0042,0.0045,-33.87
1788358709485,0.0009,0.0004,0.0008,0.0012,-33.87
1788358709504,-0.0001,0.0003,0.0003,0.0004,-33.87
1788358709523,-0.0006,0.0003,0.0003,0.0007,-33.87
1788358709541,-0.0006,-0.0002,-0.0012,0.0013,-33.87
1788358709561,-0.0001,0.0003,-0.0011,0.0012,-38.20
1788358709580,0.0004,-0.0002,-0.0006,0.0008,-38.20
