t,ax,ay,az,mag,db
1788360281120,0.0000,0.0000,0.0000,0.0000,-57.18
1788360281131,0.0007,0.0005,-0.0005,0.0010,-57.18
1788360281151,-0.0002,-0.0003,-0.0010,0.0010,-57.18
1788360281169,-0.0005,-0.0002,-0.0007,0.0009,-57.18
1788360281188,0.0004,0.0002,0.0002,0.0005,-57.18
1788360281208,0.0003,-0.0002,-0.0002,0.0005,-57.18
1788360281226,-0.0001,-0.0015,0.0002,0.0015,-160.00
1788360281245,0.0003,0.0004,-0.0002,0.0006,-160.00
1788360281263,-0.0006,0.0008,0.0007,0.0012,-160.00
1788360281282,0.0008,-0.0010,0.0010,0.0016,-160.00
1788360281301,0.0007,-0.0000,-0.0004,0.0008,-58.05
1788360281320,0.0006,-0.0005,0.0001,0.0008,-58.05
1788360281339,-0.0008,-0.0004,-0.0004,0.0009,-58.05
1788360281358,-0.0002,-0.0004,-0.0013,0.0013,-53.54
1788360281376,-0.0002,0.0005,-0.0003,0.0006,-53.54
1788360281395,-0.0011,0.0005,0.0002,0.0013,-53.54
1788360281414,0.0003,0.0000,0.0002,0.0004,-57.44
1788360281433,-0.0006,0.0005,-0.0003,0.0008,-57.44
1788360281452,-0.0001,-0.0000,-0.0003,0.0003,-57.44
1788360281470,-0.0001,-0.0000,0.0002,0.0002,-58.14
1788360281490,0.0004,-0.0005,-0.0003,0.0006,-58.14
1788360281508,-0.0006,-0.0014,0.0002,0.0015,-58.14
1788360281527,0.0008,0.0005,-0.0003,0.0010,-58.14
1788360281546,0.0008,-0.0009,0.0002,0.0012,-58.14
1788360281565,-0.0006,-0.0004,0.0002,0.0008,-42.48
1788360281583,-0.0006,0.0001,-0.0003,0.0007,-42.48
1788360281602,-0.0011,-0.0004,0.0007,0.0013,-42.48
1788360281621,0.0004,0.0006,0.0007,0.0010,-37.20
1788360281640,0.0009,0.0001,0.0006,0.0011,-37.20
1788360281658,-0.0001,0.0011,-0.0017,0.0020,-37.20
1788360281677,-0.0001,-0.0004,-0.0007,0.0008,-37.82
1788360281697,0.0004,0.0010,-0.0002,0.0011,-37.82
1788360281715,0.0008,-0.0009,0.0002,0.0012,-37.82
1788360281733,0.0008,-0.0008,-0.0007,0.0014,-39.87
1788360281752,-0.0002,0.0001,0.0007,0.0008,-39.87
1788360281772,0.0013,0.0001,-0.0007,0.0014,-39.87
1788360281790,0.0007,-0.0004,-0.0007,0.0011,-42.38
1788360281809,-0.0007,0.0006,-0.0002,0.0009,-42.38
1788360281828,0.0012,0.0006,0.0003,0.0014,-42.38
1788360281847,0.0007,0.0001,0.0003,0.0008,-42.38
1788360281865,0.0012,-0.0004,-0.0002,0.0012,-42.38
1788360281884,-0.0003,-0.0008,0.0007,0.0012,-45.21
1788360281905,0.0002,0.0001,0.0007,0.0007,-45.21
1788360281923,0.0006,0.0006,0.0002,0.0009,-45.21
1788360281941,-0.0003,-0.0004,0.0002,0.0006,-48.46
1788360281959,0.0001,0.0015,-0.0012,0.0019,-48.46
1788360281983,-0.0003,-0.0009,0.0007,0.0012,-48.46
1788360281997,0.0002,0.0001,0.0007,0.0007,-51.95
1788360282016,0.0006,0.0005,0.0002,0.0008,-51.95
1788360282035,-0.0003,0.0015,-0.0007,0.0017,-51.95
1788360282054,-0.0003,0.0000,-0.0003,0.0004,-54.61
1788360282072,-0.0013,0.0009,-0.0002,0.0016,-54.61
1788360282091,-0.0003,-0.0005,0.0002,0.0006,-54.61
1788360282109,-0.0012,0.0005,-0.0002,0.0013,-55.83
1788360282129,-0.0002,-0.0005,-0.0002,0.0006,-55.83
1788360282147,0.0002,0.0014,-0.0002,0.0014,-55.83
1788360282167,0.0002,-0.0001,0.0003,0.0003,-55.83
1788360282185,0.0002,-0.0001,0.0002,0.0003,-55.83
1788360282207,0.0002,-0.0001,-0.0002,0.0003,-55.66
1788360282222,-0.0002,-0.0001,-0.0007,0.0007,-55.66
1788360282241,-0.0002,0.0004,0.0007,0.0009,-55.66
1788360282260,0.0002,-0.0001,0.0007,0.0008,-55.68
1788360282279,0.0002,-0.0001,0.0007,0.0007,-55.68
1788360282298,0.0002,-0.0001,0.0007,0.0007,-55.68
1788360282317,0.0002,-0.0005,-0.0003,0.0007,-52.14
1788360282335,0.0002,-0.0015,0.0007,0.0016,-52.14
1788360282355,-0.0012,-0.0005,0.0002,0.0013,-52.14
1788360282373,-0.0002,0.0005,-0.0003,0.0006,-51.08
1788360282392,0.0002,0.0005,0.0011,0.0012,-51.08
1788360282410,-0.0007,-0.0005,-0.0003,0.0009,-51.08
1788360282430,0.0003,-0.0005,-0.0008,0.0010,-49.39
1788360282448,0.0003,-0.0009,-0.0003,0.0010,-49.39
1788360282467,-0.0002,0.0005,0.0006,0.0009,-49.39
1788360282487,0.0007,-0.0009,-0.0008,0.0014,-49.39
1788360282505,-0.0002,0.0005,-0.0003,0.0006,-49.39
1788360282524,-0.0002,0.0000,-0.0003,0.0004,-54.67
1788360282543,-0.0002,0.0005,-0.0007,0.0009,-54.67
1788360282561,-0.0012,-0.0009,0.0002,0.0015,-54.67
1788360282580,0.0012,0.0000,0.0007,0.0014,-55.70
1788360282599,0.0007,0.0000,0.0007,0.0010,-55.70
1788360282618,0.0002,0.0000,-0.0003,0.0004,-55.70
1788360282636,0.0007,-0.0009,0.0007,0.0013,-56.67
1788360282655,0.0007,0.0010,0.0006,0.0014,-56.67
1788360282674,-0.0013,0.0000,0.0006,0.0014,-56.67
1788360282693,0.0012,0.0014,0.0001,0.0019,-37.79
1788360282712,0.0006,-0.0005,0.0001,0.0008,-37.79
1788360282731,0.0006,0.0000,-0.0004,0.0007,-37.79
1788360282750,0.0001,-0.0005,-0.0003,0.0006,-35.53
1788360282769,0.0001,0.0000,-0.0003,0.0004,-35.53
1788360282787,-0.0003,-0.0004,-0.0003,0.0006,-35.53
1788360282806,0.0011,0.0010,0.0011,0.0019,-35.53
1788360282825,-0.0003,0.0010,0.0006,0.0012,-35.53
1788360282844,0.0001,-0.0005,0.0001,0.0005,-36.18
1788360282862,0.0001,0.0000,0.0010,0.0010,-36.18
1788360282881,0.0011,0.0005,-0.0004,0.0012,-36.18
1788360282900,-0.0004,0.0014,0.0001,0.0014,-29.80
1788360282919,0.0006,0.0004,0.0001,0.0007,-29.80
1788360282938,0.0001,-0.0005,0.0001,0.0005,-29.80
1788360282956,-0.0004,0.0004,0.0001,0.0006,-31.11
1788360282975,0.0001,0.0014,0.0005,0.0015,-31.11
1788360282995,-0.0009,-0.0001,0.0010,0.0013,-31.11
1788360283012,-0.0008,0.0004,0.0000,0.0009,-34.89
1788360283031,0.0006,0.0004,0.0005,0.0009,-34.89
1788360283050,0.0001,0.0003,-0.0005,0.0006,-34.89
1788360283069,0.0001,-0.0001,-0.0014,0.0014,-37.34
1788360283087,-0.0003,-0.0006,-0.0004,0.0008,-37.34
1788360283106,0.0006,-0.0001,-0.0004,0.0007,-37.34
1788360283126,0.0006,0.0003,-0.0004,0.0008,-37.34
1788360283145,0.0010,0.0008,0.0001,0.0013,-37.34
1788360283163,0.0010,-0.0011,0.0001,0.0015,-42.21
1788360283182,-0.0004,0.0004,0.0006,0.0008,-42.21
1788360283201,-0.0014,0.0004,-0.0004,0.0015,-42.21
1788360283220,-0.0004,-0.0011,-0.0004,0.0012,-38.67
1788360283238,-0.0013,0.0009,-0.0004,0.0016,-38.67
1788360283259,-0.0013,0.0013,-0.0004,0.0018,-38.67
1788360283276,0.0007,-0.0006,0.0006,0.0011,-35.68
1788360283295,0.0006,0.0003,0.0001,0.0007,-35.68
1788360283313,-0.0003,0.0003,-0.0008,0.0010,-35.68
1788360283332,0.0002,0.0008,0.0011,0.0013,-42.91
1788360283352,-0.0008,-0.0002,0.0010,0.0013,-42.91
1788360283370,0.0007,-0.0002,0.0005,0.0009,-42.91
1788360283389,0.0011,0.0003,-0.0004,0.0012,-42.18
1788360283407,0.0001,-0.0006,0.0001,0.0007,-42.18
1788360283426,0.0001,-0.0006,0.0001,0.0006,-42.18
1788360283445,0.0001,-0.0006,0.0005,0.0008,-42.18
1788360283464,0.0006,-0.0006,-0.0004,0.0009,-42.18
1788360283483,0.0001,-0.0001,0.0001,0.0002,-45.49
1788360283502,0.0006,0.0004,-0.0009,0.0011,-45.49
1788360283520,0.0001,-0.0001,0.0005,0.0006,-45.49
1788360283539,0.0006,-0.0006,0.0001,0.0008,-50.70
