t,ax,ay,az,mag,db
1788359137880,0.0000,0.0000,0.0000,0.0000,-44.55
1788359137895,0.0005,-0.0007,0.0002,0.0009,-44.55
1788359137914,0.0000,-0.0002,0.0005,0.0005,-44.55
1788359137933,-0.0004,0.0002,0.0004,0.0006,-44.55
1788359137952,-0.0007,-0.0006,-0.0001,0.0009,-44.55
1788359137972,-0.0005,0.0003,0.0003,0.0007,-44.55
1788359137990,-0.0005,-0.0001,-0.0001,0.0005,-160.00
1788359138009,0.0000,-0.0005,0.0003,0.0006,-160.00
1788359138028,0.0005,-0.0000,0.0003,0.0005,-160.00
1788359138047,0.0009,-0.0000,-0.0002,0.0009,-54.35
1788359138065,0.0004,-0.0005,-0.0002,0.0006,-54.35
1788359138084,-0.0001,0.0005,-0.0006,0.0008,-54.35
1788359138103,-0.0001,0.0009,-0.0001,0.0009,-54.35
1788359138122,-0.0001,0.0013,-0.0001,0.0013,-48.06
1788359138142,0.0004,-0.0006,0.0008,0.0011,-48.06
1788359138159,0.0004,-0.0001,-0.0006,0.0007,-48.06
1788359138178,-0.0006,-0.0001,-0.0001,0.0006,-47.32
1788359138196,0.0013,0.0003,-0.0010,0.0017,-47.32
1788359138216,0.0013,0.0008,0.0004,0.0015,-47.32
1788359138234,0.0007,0.0003,0.0004,0.0009,-48.37
1788359138253,0.0002,-0.0006,-0.0006,0.0009,-48.37
1788359138272,0.0002,0.0003,-0.0001,0.0004,-48.37
1788359138291,0.0002,0.0003,0.0004,0.0006,-48.37
1788359138310,0.0002,0.0003,-0.0001,0.0004,-40.32
1788359138329,0.0002,-0.0002,-0.0001,0.0003,-40.32
1788359138347,0.0002,-0.0011,-0.0010,0.0015,-40.32
1788359138367,-0.0003,0.0003,-0.0000,0.0004,-36.79
1788359138385,0.0007,0.0003,-0.0005,0.0009,-36.79
1788359138404,-0.0007,0.0008,-0.0000,0.0011,-36.79
1788359138422,0.0002,-0.0002,0.0005,0.0006,-36.79
1788359138442,-0.0012,0.0007,-0.0010,0.0017,-37.34
1788359138460,-0.0006,0.0007,-0.0005,0.0011,-37.34
1788359138479,-0.0016,0.0007,-0.0005,0.0018,-37.34
1788359138498,0.0004,0.0011,-0.0037,0.0039,-39.11
1788359138517,-0.0006,-0.0003,0.0096,0.0096,-39.11
1788359138535,0.0018,-0.0003,-0.0058,0.0061,-39.11
1788359138555,0.0003,0.0011,-0.0004,0.0013,-37.33
1788359138573,-0.0002,0.0002,0.0005,0.0006,-37.33
1788359138592,-0.0002,-0.0003,-0.0004,0.0006,-37.33
1788359138610,-0.0001,-0.0008,0.0015,0.0017,-37.33
1788359138629,-0.0001,-0.0003,0.0009,0.0010,-46.76
1788359138648,0.0018,-0.0003,0.0004,0.0018,-46.76
1788359138668,0.0003,0.0002,-0.0005,0.0006,-46.76
1788359138686,0.0012,0.0007,-0.0000,0.0014,-42.72
1788359138705,-0.0002,0.0011,-0.0000,0.0012,-42.72
1788359138723,-0.0002,0.0016,0.0004,0.0016,-42.72
1788359138743,-0.0011,0.0006,-0.0005,0.0014,-42.72
1788359138763,0.0003,0.0005,0.0014,0.0015,-37.33
1788359138780,0.0008,0.0001,-0.0001,0.0008,-37.33
1788359138799,-0.0002,0.0005,0.0009,0.0010,-37.33
1788359138818,0.0003,0.0005,0.0004,0.0007,-41.07
1788359138836,0.0003,-0.0004,-0.0001,0.0005,-41.07
1788359138855,-0.0002,-0.0004,-0.0001,0.0005,-41.07
1788359138874,-0.0002,-0.0009,0.0004,0.0010,-39.40
1788359138893,-0.0002,-0.0008,-0.0006,0.0010,-39.40
1788359138912,0.0003,0.0001,0.0004,0.0005,-39.40
1788359138930,0.0008,0.0006,-0.0011,0.0014,-39.40
1788359138949,-0.0007,-0.0008,0.0004,0.0012,-41.98
1788359138968,-0.0002,0.0001,0.0004,0.0004,-41.98
1788359138987,0.0003,-0.0013,-0.0001,0.0013,-41.98
1788359139005,-0.0002,0.0006,-0.0001,0.0007,-43.64
1788359139024,0.0008,0.0001,0.0004,0.0009,-43.64
1788359139043,-0.0002,-0.0004,-0.0001,0.0004,-43.64
1788359139062,0.0003,-0.0003,-0.0006,0.0007,-44.88
1788359139081,0.0003,0.0006,-0.0001,0.0007,-44.88
1788359139100,0.0003,0.0001,-0.0001,0.0003,-44.88
1788359139119,0.0007,-0.0004,-0.0001,0.0008,-44.88
1788359139137,-0.0012,-0.0004,-0.0005,0.0013,-45.33
1788359139157,-0.0006,0.0006,-0.0001,0.0009,-45.33
1788359139174,0.0003,-0.0004,-0.0001,0.0005,-45.33
1788359139193,0.0003,0.0001,-0.0001,0.0004,-44.18
1788359139214,0.0003,-0.0003,0.0004,0.0006,-44.18
1788359139231,-0.0006,0.0011,0.0009,0.0015,-44.18
1788359139250,0.0003,-0.0004,0.0004,0.0006,-44.18
1788359139269,0.0008,0.0006,-0.0011,0.0014,-44.73
1788359139287,0.0003,-0.0008,-0.0010,0.0013,-44.73
1788359139306,0.0012,-0.0003,-0.0015,0.0019,-44.73
1788359139325,-0.0007,-0.0003,0.0000,0.0008,-46.27
1788359139344,0.0003,-0.0008,0.0005,0.0010,-46.27
1788359139362,-0.0002,0.0002,-0.0000,0.0003,-46.27
1788359139385,-0.0006,-0.0003,-0.0000,0.0006,-46.27
1788359139400,-0.0005,-0.0002,0.0028,0.0029,-46.83
1788359139419,0.0028,0.0002,-0.0029,0.0041,-46.83
1788359139438,0.0004,0.0002,0.0009,0.0010,-46.83
1788359139456,0.0003,-0.0003,-0.0000,0.0004,-37.96
