t,ax,ay,az,mag,db
1788360546938,0.0000,0.0000,0.0000,0.0000,-19.25
1788360546950,0.0005,0.0002,-0.0002,0.0006,-19.25
1788360546969,0.0013,-0.0008,-0.0002,0.0015,-19.25
1788360546987,-0.0001,0.0009,0.0002,0.0009,-19.25
1788360547006,-0.0001,-0.0001,-0.0002,0.0002,-19.25
1788360547026,0.0003,-0.0005,-0.0002,0.0006,-19.25
1788360547044,-0.0001,0.0004,-0.0001,0.0005,-160.00
1788360547063,-0.0001,0.0003,-0.0005,0.0007,-160.00
1788360547082,0.0008,-0.0001,-0.0005,0.0009,-160.00
1788360547101,0.0003,-0.0006,-0.0004,0.0008,-160.00
1788360547119,-0.0002,-0.0005,0.0005,0.0007,-50.69
1788360547139,0.0003,-0.0005,0.0000,0.0005,-50.69
1788360547157,0.0011,-0.0004,0.0000,0.0012,-50.69
1788360547176,0.0001,0.0009,0.0000,0.0009,-49.49
1788360547194,-0.0003,-0.0000,0.0000,0.0003,-49.49
1788360547214,0.0002,0.0009,0.0000,0.0009,-49.49
1788360547232,0.0011,-0.0001,0.0005,0.0012,-49.57
1788360547251,0.0001,0.0004,0.0004,0.0006,-49.57
1788360547270,-0.0013,0.0008,-0.0001,0.0015,-49.57
1788360547289,-0.0008,-0.0006,0.0004,0.0011,-46.19
1788360547307,-0.0003,0.0003,0.0009,0.0010,-46.19
1788360547326,0.0007,0.0012,0.0004,0.0014,-46.19
1788360547345,0.0002,0.0007,0.0003,0.0008,-46.19
1788360547364,0.0002,0.0011,-0.0001,0.0012,-43.56
1788360547383,0.0002,0.0001,-0.0001,0.0003,-43.56
1788360547402,-0.0008,-0.0008,-0.0001,0.0011,-43.56
1788360547421,-0.0008,0.0002,-0.0006,0.0010,-43.56
1788360547439,-0.0003,0.0001,-0.0006,0.0006,-38.37
1788360547458,0.0002,0.0006,-0.0001,0.0007,-38.37
1788360547477,-0.0002,-0.0008,-0.0010,0.0013,-38.37
1788360547495,0.0002,0.0016,0.0004,0.0017,-38.61
1788360547514,-0.0007,0.0006,-0.0010,0.0014,-38.61
1788360547533,-0.0007,-0.0013,-0.0000,0.0015,-38.61
1788360547552,-0.0011,0.0011,-0.0000,0.0016,-40.35
1788360547571,0.0008,0.0001,-0.0000,0.0008,-40.35
1788360547589,-0.0002,0.0001,-0.0000,0.0002,-40.35
1788360547608,0.0008,0.0001,-0.0005,0.0009,-41.25
1788360547627,-0.0002,-0.0009,0.0005,0.0010,-41.25
1788360547646,0.0003,0.0001,0.0004,0.0005,-41.25
1788360547666,0.0003,-0.0008,-0.0000,0.0009,-41.25
1788360547684,-0.0002,0.0001,0.0009,0.0009,-41.85
1788360547702,-0.0002,0.0006,-0.0005,0.0008,-41.85
1788360547721,0.0007,-0.0004,-0.0005,0.0010,-41.85
1788360547740,-0.0007,-0.0003,-0.0000,0.0008,-41.85
1788360547759,-0.0007,0.0006,-0.0005,0.0010,-42.98
1788360547778,-0.0006,-0.0004,0.0005,0.0009,-42.98
1788360547798,-0.0006,0.0006,0.0004,0.0010,-42.98
1788360547816,0.0013,0.0001,0.0004,0.0014,-42.38
1788360547834,-0.0011,0.0001,0.0004,0.0012,-42.38
1788360547854,0.0018,-0.0009,-0.0005,0.0020,-42.38
1788360547876,-0.0002,0.0001,0.0004,0.0005,-40.47
1788360547891,-0.0002,0.0006,0.0004,0.0007,-40.47
1788360547909,-0.0002,0.0001,-0.0001,0.0002,-40.47
1788360547928,-0.0002,-0.0004,0.0004,0.0006,-45.12
1788360547948,-0.0011,0.0001,0.0009,0.0014,-45.12
1788360547966,0.0003,-0.0004,0.0008,0.0010,-45.12
1788360547985,0.0003,0.0006,0.0008,0.0010,-45.12
1788360548004,0.0008,0.0006,-0.0002,0.0010,-44.20
1788360548022,-0.0002,-0.0009,0.0003,0.0009,-44.20
1788360548041,0.0003,0.0001,0.0003,0.0004,-44.20
1788360548060,-0.0011,-0.0008,0.0003,0.0014,-44.20
1788360548078,-0.0011,-0.0003,0.0003,0.0012,-42.79
