t,ax,ay,az,mag,db
1788360344983,0.0000,0.0000,0.0000,0.0000,-59.94
1788360344994,-0.0005,0.0000,0.0007,0.0009,-59.94
1788360345014,-0.0000,0.0000,0.0005,0.0005,-59.94
1788360345032,0.0015,-0.0004,0.0004,0.0015,-59.94
1788360345051,0.0008,-0.0003,-0.0001,0.0008,-59.94
1788360345070,-0.0006,0.0002,-0.0013,0.0014,-59.94
1788360345089,-0.0005,0.0010,0.0006,0.0012,-59.94
1788360345107,-0.0000,-0.0000,-0.0004,0.0004,-160.00
1788360345128,0.0004,-0.0004,-0.0003,0.0007,-160.00
1788360345145,-0.0001,0.0009,-0.0007,0.0012,-160.00
1788360345164,-0.0005,0.0008,-0.0002,0.0010,-54.44
1788360345183,0.0013,-0.0001,-0.0002,0.0014,-54.44
1788360345202,0.0003,0.0003,0.0003,0.0005,-54.44
1788360345221,0.0008,-0.0001,0.0007,0.0010,-52.32
1788360345240,0.0003,-0.0006,0.0002,0.0007,-52.32
1788360345258,0.0007,0.0008,0.0006,0.0013,-52.32
1788360345277,-0.0016,-0.0006,0.0001,0.0017,-52.76
1788360345295,0.0003,-0.0006,-0.0003,0.0007,-52.76
1788360345314,-0.0016,0.0004,0.0006,0.0017,-52.76
1788360345333,0.0004,0.0013,-0.0003,0.0014,-52.76
1788360345353,0.0013,-0.0011,-0.0003,0.0017,-52.95
1788360345370,0.0003,-0.0010,0.0002,0.0011,-52.95
1788360345390,-0.0011,0.0004,0.0006,0.0013,-52.95
1788360345408,0.0003,0.0009,-0.0003,0.0010,-52.95
1788360345428,-0.0006,-0.0005,0.0001,0.0008,-44.04
1788360345446,-0.0001,0.0009,-0.0008,0.0012,-44.04
1788360345465,0.0004,-0.0001,0.0006,0.0007,-44.04
1788360345484,0.0008,-0.0001,-0.0008,0.0012,-38.04
1788360345503,-0.0001,0.0009,-0.0012,0.0015,-38.04
1788360345521,-0.0001,0.0004,0.0002,0.0004,-38.04
1788360345541,-0.0006,-0.0001,0.0002,0.0006,-38.52
1788360345559,0.0004,-0.0001,0.0002,0.0004,-38.52
1788360345578,0.0004,0.0004,0.0007,0.0008,-38.52
1788360345596,0.0004,0.0008,-0.0008,0.0012,-40.14
1788360345616,-0.0001,-0.0001,0.0011,0.0012,-40.14
1788360345634,0.0008,0.0003,0.0006,0.0011,-40.14
1788360345653,0.0003,0.0003,0.0006,0.0008,-40.14
1788360345672,0.0003,-0.0006,-0.0008,0.0011,-42.29
1788360345691,0.0008,-0.0011,-0.0008,0.0016,-42.29
1788360345710,-0.0002,0.0008,0.0002,0.0009,-42.29
1788360345729,0.0003,-0.0006,-0.0003,0.0007,-42.29
1788360345746,-0.0011,-0.0001,-0.0012,0.0017,-45.10
1788360345766,0.0012,0.0008,-0.0003,0.0015,-45.10
1788360345784,0.0003,-0.0001,-0.0007,0.0008,-45.10
1788360345804,0.0003,-0.0006,0.0002,0.0007,-47.56
1788360345822,-0.0007,0.0004,0.0002,0.0008,-47.56
1788360345841,-0.0002,0.0004,0.0012,0.0012,-47.56
